question,answer1,answer2,answer3
adam feels ________.,sad,excited,depressed
adam found himself in a ________ situation.,great,serious,wonderful
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,anxious,depressed,angry
adam told us all about the recent ________ events.,amazing,wonderful,horrible
alan feels ________.,sad,excited,depressed
alan found himself in a ________ situation.,great,serious,wonderful
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,anxious,depressed,angry
alan told us all about the recent ________ events.,amazing,wonderful,horrible
alonzo feels ________.,furious,fearful,scared
alonzo found himself in a ________ situation.,serious,great,horrible
alonzo found himself in an ________ situation.,annoying,amazing,outrageous
alonzo made me feel ________.,anxious,depressed,furious
alonzo told us all about the recent ________ events.,amazing,horrible,wonderful
alphonse feels ________.,happy,sad,excited
alphonse found himself in a ________ situation.,great,serious,wonderful
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,anxious,depressed,angry
alphonse told us all about the recent ________ events.,amazing,wonderful,horrible
amanda feels ________.,relieved,furious,fearful
amanda found herself in a ________ situation.,serious,great,horrible
amanda found herself in an ________ situation.,annoying,amazing,outrageous
amanda made me feel ________.,anxious,depressed,relieved
amanda told us all about the recent ________ events.,amazing,horrible,wonderful
andrew feels ________.,sad,excited,depressed
andrew found himself in a ________ situation.,great,serious,wonderful
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,anxious,depressed,angry
andrew told us all about the recent ________ events.,amazing,wonderful,horrible
betsy feels ________.,happy,sad,excited
betsy found herself in a ________ situation.,serious,great,horrible
betsy found herself in an ________ situation.,annoying,amazing,outrageous
betsy made me feel ________.,anxious,depressed,angry
betsy told us all about the recent ________ events.,amazing,wonderful,horrible
courtney feels ________.,scared,terrified,glad
courtney found herself in a ________ situation.,serious,great,horrible
courtney found herself in an ________ situation.,annoying,amazing,outrageous
courtney made me feel ________.,anxious,depressed,furious
courtney told us all about the recent ________ events.,amazing,horrible,terrifying
darnell feels ________.,happy,sad,excited
darnell found himself in a ________ situation.,great,serious,wonderful
darnell found himself in an ________ situation.,amazing,annoying,outrageous
darnell made me feel ________.,anxious,depressed,angry
darnell told us all about the recent ________ events.,amazing,wonderful,horrible
ebony feels ________.,scared,terrified,glad
ebony found herself in a ________ situation.,serious,great,horrible
ebony found herself in an ________ situation.,annoying,amazing,outrageous
ebony made me feel ________.,anxious,depressed,furious
ebony told us all about the recent ________ events.,amazing,horrible,terrifying
ellen feels ________.,excited,depressed,anxious
ellen found herself in a ________ situation.,serious,great,horrible
ellen found herself in an ________ situation.,annoying,amazing,outrageous
ellen made me feel ________.,anxious,depressed,angry
ellen told us all about the recent ________ events.,amazing,wonderful,horrible
frank feels ________.,happy,sad,excited
frank found himself in a ________ situation.,great,serious,wonderful
frank found himself in an ________ situation.,amazing,annoying,outrageous
frank made me feel ________.,anxious,depressed,discouraged
frank told us all about the recent ________ events.,amazing,wonderful,horrible
harry feels ________.,excited,sad,depressed
harry found himself in a ________ situation.,great,serious,wonderful
harry found himself in an ________ situation.,amazing,annoying,outrageous
harry made me feel ________.,anxious,depressed,angry
harry told us all about the recent ________ events.,amazing,wonderful,horrible
he feels ________.,relieved,furious,fearful
he found himself in a ________ situation.,great,serious,wonderful
he found himself in an ________ situation.,amazing,annoying,outrageous
he made me feel ________.,anxious,depressed,discouraged
he told us all about the recent ________ events.,amazing,wonderful,threatening
heather feels ________.,scared,terrified,glad
heather found herself in a ________ situation.,serious,great,horrible
heather found herself in an ________ situation.,annoying,amazing,outrageous
heather made me feel ________.,anxious,depressed,furious
heather told us all about the recent ________ events.,amazing,horrible,terrifying
i made adam feel ________.,anxious,depressed,happy
i made alan feel ________.,anxious,depressed,happy
i made alonzo feel ________.,anxious,depressed,discouraged
i made alphonse feel ________.,anxious,depressed,happy
i made amanda feel ________.,anxious,depressed,excited
i made andrew feel ________.,anxious,depressed,happy
i made betsy feel ________.,anxious,depressed,happy
i made courtney feel ________.,anxious,depressed,relieved
i made darnell feel ________.,anxious,depressed,happy
i made ebony feel ________.,anxious,depressed,relieved
i made ellen feel ________.,anxious,depressed,happy
i made frank feel ________.,anxious,depressed,happy
i made harry feel ________.,anxious,depressed,happy
