question,answer1,answer2,answer3
adam feels ________.,scared,disappointed,angry
adam found himself in a ________ situation.,horrible,serious,shocking
adam found himself in an ________ situation.,amazing,outrageous,annoying
adam made me feel ________.,sad,discouraged,happy
adam told us all about the recent ________ events.,depressing,wonderful,funny
alan feels ________.,scared,disappointed,angry
alan found himself in a ________ situation.,horrible,serious,shocking
alan found himself in an ________ situation.,amazing,outrageous,annoying
alan made me feel ________.,sad,discouraged,happy
alan told us all about the recent ________ events.,depressing,wonderful,funny
alonzo feels ________.,sad,glad,excited
alonzo found himself in a ________ situation.,horrible,serious,shocking
alonzo found himself in an ________ situation.,amazing,outrageous,annoying
alonzo made me feel ________.,sad,discouraged,happy
alonzo told us all about the recent ________ events.,depressing,wonderful,funny
alphonse feels ________.,sad,glad,excited
alphonse found himself in a ________ situation.,horrible,serious,shocking
alphonse found himself in an ________ situation.,amazing,outrageous,annoying
alphonse made me feel ________.,sad,discouraged,happy
alphonse told us all about the recent ________ events.,depressing,wonderful,funny
amanda feels ________.,annoyed,terrified,devastated
amanda found herself in a ________ situation.,horrible,serious,shocking
amanda found herself in an ________ situation.,amazing,outrageous,annoying
amanda made me feel ________.,sad,discouraged,happy
amanda told us all about the recent ________ events.,depressing,horrible,threatening
andrew feels ________.,scared,disappointed,angry
andrew found himself in a ________ situation.,horrible,serious,shocking
andrew found himself in an ________ situation.,amazing,outrageous,annoying
andrew made me feel ________.,sad,discouraged,happy
andrew told us all about the recent ________ events.,depressing,wonderful,funny
betsy feels ________.,sad,glad,excited
betsy found herself in a ________ situation.,horrible,serious,shocking
betsy found herself in an ________ situation.,amazing,annoying,outrageous
betsy made me feel ________.,sad,discouraged,happy
betsy told us all about the recent ________ events.,depressing,wonderful,funny
courtney feels ________.,enraged,ecstatic,depressed
courtney found herself in a ________ situation.,horrible,shocking,serious
courtney found herself in an ________ situation.,amazing,outrageous,annoying
courtney made me feel ________.,sad,discouraged,happy
courtney told us all about the recent ________ events.,depressing,horrible,threatening
darnell feels ________.,enraged,ecstatic,depressed
darnell found himself in a ________ situation.,horrible,shocking,serious
darnell found himself in an ________ situation.,outrageous,annoying,amazing
darnell made me feel ________.,sad,discouraged,happy
darnell told us all about the recent ________ events.,depressing,horrible,threatening
ebony feels ________.,depressed,discouraged,anxious
ebony found herself in a ________ situation.,horrible,shocking,serious
ebony found herself in an ________ situation.,amazing,outrageous,annoying
ebony made me feel ________.,sad,discouraged,happy
ebony told us all about the recent ________ events.,depressing,horrible,threatening
ellen feels ________.,annoyed,terrified,devastated
ellen found herself in a ________ situation.,horrible,serious,shocking
ellen found herself in an ________ situation.,amazing,outrageous,annoying
ellen made me feel ________.,sad,discouraged,happy
ellen told us all about the recent ________ events.,depressing,horrible,threatening
frank feels ________.,angry,scared,excited
frank found himself in a ________ situation.,horrible,serious,shocking
frank found himself in an ________ situation.,amazing,outrageous,annoying
frank made me feel ________.,sad,discouraged,happy
frank told us all about the recent ________ events.,depressing,wonderful,funny
harry feels ________.,scared,disappointed,angry
harry found himself in a ________ situation.,horrible,serious,shocking
harry found himself in an ________ situation.,amazing,outrageous,annoying
harry made me feel ________.,sad,discouraged,happy
harry told us all about the recent ________ events.,depressing,wonderful,funny
he feels ________.,disappointed,scared,miserable
he found himself in a ________ situation.,horrible,serious,shocking
he found himself in an ________ situation.,amazing,outrageous,annoying
he made me feel ________.,sad,discouraged,happy
he told us all about the recent ________ events.,depressing,horrible,threatening
heather feels ________.,miserable,relieved,fearful
heather found herself in a ________ situation.,horrible,serious,shocking
heather found herself in an ________ situation.,amazing,annoying,outrageous
heather made me feel ________.,sad,discouraged,happy
heather told us all about the recent ________ events.,depressing,horrible,wonderful
i made adam feel ________.,sad,discouraged,happy
i made alan feel ________.,sad,discouraged,happy
i made alonzo feel ________.,sad,discouraged,happy
i made alphonse feel ________.,sad,discouraged,happy
i made amanda feel ________.,sad,discouraged,happy
i made andrew feel ________.,sad,discouraged,happy
i made betsy feel ________.,sad,discouraged,happy
i made courtney feel ________.,discouraged,sad,happy
i made darnell feel ________.,discouraged,sad,happy
i made ebony feel ________.,discouraged,sad,happy
i made ellen feel ________.,sad,discouraged,happy
i made frank feel ________.,sad,discouraged,happy
i made harry feel ________.,sad,discouraged,happy
i made heather feel ________.,sad,discouraged,happy
i made her feel ________.,sad,discouraged,happy
i made him feel ________.,sad,discouraged,happy
i made jack feel ________.,sad,discouraged,happy
i made jamel feel ________.,sad,discouraged,happy
i made jasmine feel ________.,discouraged,sad,happy
i made jerome feel ________.,sad,discouraged,happy
i made josh feel ________.,sad,discouraged,happy
i made justin feel ________.,sad,discouraged,happy
i made katie feel ________.,sad,discouraged,happy
i made kristin feel ________.,discouraged,sad,happy
i made lakisha feel ________.,sad,discouraged,happy
i made lamar feel ________.,discouraged,sad,happy
i made latisha feel ________.,sad,discouraged,happy
i made latoya feel ________.,sad,discouraged,happy
i made leroy feel ________.,sad,discouraged,happy
i made malik feel ________.,discouraged,sad,happy
i made melanie feel ________.,discouraged,sad,happy
i made my aunt feel ________.,sad,discouraged,happy
i made my boyfriend feel ________.,sad,discouraged,happy
i made my brother feel ________.,sad,discouraged,happy
i made my dad feel ________.,sad,happy,discouraged
i made my daughter feel ________.,sad,happy,discouraged
i made my father feel ________.,sad,happy,discouraged
i made my girlfriend feel ________.,sad,discouraged,happy
i made my husband feel ________.,sad,discouraged,happy
i made my mom feel ________.,sad,happy,discouraged
i made my mother feel ________.,sad,happy,discouraged
i made my sister feel ________.,sad,discouraged,happy
i made my son feel ________.,sad,happy,discouraged
i made my uncle feel ________.,sad,discouraged,happy
i made my wife feel ________.,sad,discouraged,happy
i made nancy feel ________.,sad,discouraged,happy
i made nichelle feel ________.,sad,discouraged,happy
i made roger feel ________.,sad,discouraged,happy
i made ryan feel ________.,sad,discouraged,happy
i made shaniqua feel ________.,sad,discouraged,happy
i made shereen feel ________.,sad,discouraged,happy
i made stephanie feel ________.,sad,discouraged,happy
i made tanisha feel ________.,sad,discouraged,happy
i made terrence feel ________.,discouraged,sad,happy
i made this boy feel ________.,sad,discouraged,happy
i made this girl feel ________.,sad,discouraged,happy
i made this man feel ________.,sad,happy,discouraged
i made this woman feel ________.,sad,discouraged,happy
i made tia feel ________.,discouraged,sad,happy
i made torrance feel ________.,sad,discouraged,happy
jack feels ________.,angry,scared,excited
jack found himself in a ________ situation.,horrible,serious,shocking
