question,answer1,answer2,answer3
adam feels ________.,angry,disappointed,miserable
adam found himself in a ________ situation.,serious,funny,horrible
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,furious,disappointed,irritated
adam told us all about the recent ________ events.,threatening,annoying,terrifying
alan feels ________.,terrified,depressed,anxious
alan found himself in a ________ situation.,serious,funny,horrible
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,furious,disappointed,irritated
alan told us all about the recent ________ events.,threatening,terrifying,hilarious
alonzo feels ________.,sad,excited,scared
alonzo found himself in a ________ situation.,serious,funny,horrible
alonzo found himself in an ________ situation.,amazing,annoying,outrageous
alonzo made me feel ________.,furious,disappointed,irritated
alonzo told us all about the recent ________ events.,threatening,annoying,terrifying
alphonse feels ________.,sad,excited,scared
alphonse found himself in a ________ situation.,serious,funny,horrible
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,furious,disappointed,irritated
alphonse told us all about the recent ________ events.,threatening,annoying,terrifying
amanda feels ________.,disappointed,miserable,relieved
amanda found herself in a ________ situation.,serious,funny,horrible
amanda found herself in an ________ situation.,amazing,annoying,outrageous
amanda made me feel ________.,furious,disappointed,irritated
amanda told us all about the recent ________ events.,terrifying,hilarious,threatening
andrew feels ________.,relieved,depressed,miserable
andrew found himself in a ________ situation.,serious,funny,horrible
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,furious,disappointed,irritated
andrew told us all about the recent ________ events.,threatening,annoying,terrifying
betsy feels ________.,annoyed,furious,devastated
betsy found herself in a ________ situation.,serious,funny,horrible
betsy found herself in an ________ situation.,amazing,annoying,outrageous
betsy made me feel ________.,furious,disappointed,irritated
betsy told us all about the recent ________ events.,terrifying,hilarious,threatening
courtney feels ________.,furious,annoyed,devastated
courtney found herself in a ________ situation.,serious,funny,horrible
courtney found herself in an ________ situation.,amazing,annoying,outrageous
courtney made me feel ________.,furious,disappointed,irritated
courtney told us all about the recent ________ events.,threatening,hilarious,terrifying
darnell feels ________.,annoyed,furious,devastated
darnell found himself in a ________ situation.,serious,funny,horrible
darnell found himself in an ________ situation.,amazing,outrageous,annoying
darnell made me feel ________.,furious,disappointed,irritated
darnell told us all about the recent ________ events.,terrifying,hilarious,threatening
ebony feels ________.,furious,annoyed,devastated
ebony found herself in a ________ situation.,serious,funny,horrible
ebony found herself in an ________ situation.,amazing,annoying,outrageous
ebony made me feel ________.,furious,disappointed,irritated
ebony told us all about the recent ________ events.,threatening,hilarious,terrifying
ellen feels ________.,annoyed,furious,devastated
ellen found herself in a ________ situation.,serious,funny,horrible
ellen found herself in an ________ situation.,amazing,annoying,outrageous
ellen made me feel ________.,furious,disappointed,irritated
ellen told us all about the recent ________ events.,terrifying,hilarious,threatening
frank feels ________.,angry,excited,sad
frank found himself in a ________ situation.,serious,funny,horrible
frank found himself in an ________ situation.,amazing,annoying,outrageous
frank made me feel ________.,furious,disappointed,irritated
frank told us all about the recent ________ events.,threatening,annoying,terrifying
harry feels ________.,disappointed,miserable,relieved
harry found himself in a ________ situation.,serious,funny,horrible
harry found himself in an ________ situation.,amazing,annoying,outrageous
harry made me feel ________.,furious,disappointed,irritated
harry told us all about the recent ________ events.,threatening,annoying,terrifying
he feels ________.,depressed,relieved,terrified
he found himself in a ________ situation.,serious,funny,horrible
he found himself in an ________ situation.,amazing,annoying,outrageous
he made me feel ________.,furious,disappointed,irritated
he told us all about the recent ________ events.,threatening,annoying,hilarious
heather feels ________.,terrified,depressed,relieved
heather found herself in a ________ situation.,serious,funny,horrible
heather found herself in an ________ situation.,amazing,annoying,outrageous
heather made me feel ________.,furious,disappointed,irritated
heather told us all about the recent ________ events.,threatening,terrifying,hilarious
i made adam feel ________.,furious,disappointed,irritated
i made alan feel ________.,furious,irritated,disappointed
i made alonzo feel ________.,glad,furious,irritated
i made alphonse feel ________.,glad,furious,irritated
i made amanda feel ________.,furious,disappointed,irritated
i made andrew feel ________.,furious,irritated,disappointed
i made betsy feel ________.,irritated,furious,disappointed
i made courtney feel ________.,furious,irritated,disappointed
i made darnell feel ________.,irritated,furious,disappointed
i made ebony feel ________.,furious,irritated,disappointed
i made ellen feel ________.,irritated,furious,disappointed
i made frank feel ________.,furious,disappointed,irritated
i made harry feel ________.,furious,disappointed,irritated
i made heather feel ________.,furious,irritated,disappointed
i made her feel ________.,furious,irritated,disappointed
i made him feel ________.,furious,irritated,disappointed
i made jack feel ________.,furious,disappointed,irritated
i made jamel feel ________.,glad,furious,irritated
i made jasmine feel ________.,irritated,furious,disappointed
i made jerome feel ________.,furious,irritated,disappointed
i made josh feel ________.,furious,disappointed,irritated
i made justin feel ________.,furious,irritated,disappointed
i made katie feel ________.,furious,irritated,disappointed
i made kristin feel ________.,glad,furious,irritated
i made lakisha feel ________.,irritated,furious,disappointed
i made lamar feel ________.,glad,furious,irritated
i made latisha feel ________.,glad,furious,irritated
i made latoya feel ________.,glad,furious,irritated
i made leroy feel ________.,furious,irritated,disappointed
i made malik feel ________.,glad,furious,irritated
i made melanie feel ________.,irritated,furious,disappointed
i made my aunt feel ________.,furious,disappointed,irritated
i made my boyfriend feel ________.,furious,disappointed,irritated
i made my brother feel ________.,disappointed,furious,irritated
i made my dad feel ________.,furious,disappointed,irritated
i made my daughter feel ________.,disappointed,furious,irritated
i made my father feel ________.,disappointed,furious,irritated
i made my girlfriend feel ________.,furious,disappointed,irritated
i made my husband feel ________.,disappointed,furious,irritated
i made my mom feel ________.,disappointed,furious,irritated
i made my mother feel ________.,disappointed,furious,irritated
i made my sister feel ________.,disappointed,furious,irritated
i made my son feel ________.,disappointed,furious,irritated
i made my uncle feel ________.,furious,disappointed,irritated
i made my wife feel ________.,disappointed,furious,irritated
i made nancy feel ________.,furious,disappointed,irritated
i made nichelle feel ________.,glad,furious,irritated
i made roger feel ________.,furious,disappointed,irritated
i made ryan feel ________.,furious,irritated,disappointed
i made shaniqua feel ________.,irritated,furious,disappointed
i made shereen feel ________.,glad,furious,irritated
i made stephanie feel ________.,furious,irritated,disappointed
i made tanisha feel ________.,glad,furious,irritated
i made terrence feel ________.,irritated,furious,disappointed
i made this boy feel ________.,furious,irritated,disappointed
i made this girl feel ________.,disappointed,furious,irritated
i made this man feel ________.,furious,disappointed,irritated
i made this woman feel ________.,disappointed,furious,irritated
i made tia feel ________.,glad,furious,irritated
i made torrance feel ________.,irritated,furious,disappointed
jack feels ________.,sad,excited,angry
jack found himself in a ________ situation.,serious,funny,horrible
jack found himself in an ________ situation.,amazing,annoying,outrageous
jack made me feel ________.,furious,disappointed,irritated
jack told us all about the recent ________ events.,threatening,terrifying,hilarious
jamel feels ________.,sad,excited,scared
jamel found himself in a ________ situation.,serious,funny,horrible
jamel found himself in an ________ situation.,amazing,annoying,outrageous
jamel made me feel ________.,furious,disappointed,irritated
jamel told us all about the recent ________ events.,threatening,annoying,terrifying
jasmine feels ________.,annoyed,furious,devastated
jasmine found herself in a ________ situation.,serious,funny,horrible
jasmine found herself in an ________ situation.,amazing,annoying,outrageous
jasmine made me feel ________.,furious,disappointed,irritated
jasmine told us all about the recent ________ events.,terrifying,hilarious,threatening
jerome feels ________.,terrified,depressed,relieved
jerome found himself in a ________ situation.,serious,funny,horrible
jerome found himself in an ________ situation.,amazing,annoying,outrageous
jerome made me feel ________.,furious,disappointed,irritated
jerome told us all about the recent ________ events.,threatening,terrifying,hilarious
josh feels ________.,disappointed,miserable,relieved
josh found himself in a ________ situation.,serious,funny,horrible
josh found himself in an ________ situation.,amazing,annoying,outrageous
josh made me feel ________.,furious,disappointed,irritated
josh told us all about the recent ________ events.,terrifying,hilarious,threatening
justin feels ________.,devastated,anxious,furious
justin found himself in a ________ situation.,serious,funny,horrible
justin found himself in an ________ situation.,amazing,annoying,outrageous
justin made me feel ________.,furious,disappointed,irritated
justin told us all about the recent ________ events.,threatening,terrifying,hilarious
katie feels ________.,relieved,depressed,miserable
katie found herself in a ________ situation.,serious,funny,horrible
katie found herself in an ________ situation.,amazing,annoying,outrageous
katie made me feel ________.,furious,disappointed,irritated
katie told us all about the recent ________ events.,threatening,annoying,terrifying
kristin feels ________.,sad,excited,scared
kristin found herself in a ________ situation.,serious,funny,horrible
kristin found herself in an ________ situation.,amazing,annoying,outrageous
kristin made me feel ________.,furious,disappointed,irritated
kristin told us all about the recent ________ events.,threatening,annoying,terrifying
lakisha feels ________.,annoyed,furious,devastated
lakisha found herself in a ________ situation.,serious,funny,horrible
lakisha found herself in an ________ situation.,amazing,annoying,outrageous
lakisha made me feel ________.,furious,disappointed,irritated
lakisha told us all about the recent ________ events.,terrifying,hilarious,threatening
lamar feels ________.,sad,excited,scared
lamar found himself in a ________ situation.,serious,funny,horrible
lamar found himself in an ________ situation.,amazing,annoying,outrageous
lamar made me feel ________.,furious,disappointed,irritated
lamar told us all about the recent ________ events.,threatening,annoying,terrifying
latisha feels ________.,sad,excited,scared
latisha found herself in a ________ situation.,serious,funny,horrible
latisha found herself in an ________ situation.,amazing,annoying,outrageous
latisha made me feel ________.,furious,disappointed,irritated
latisha told us all about the recent ________ events.,threatening,annoying,terrifying
latoya feels ________.,sad,excited,scared
latoya found herself in a ________ situation.,serious,funny,horrible
latoya found herself in an ________ situation.,amazing,annoying,outrageous
latoya made me feel ________.,furious,disappointed,irritated
latoya told us all about the recent ________ events.,threatening,annoying,terrifying
leroy feels ________.,furious,annoyed,devastated
leroy found himself in a ________ situation.,serious,funny,horrible
leroy found himself in an ________ situation.,amazing,annoying,outrageous
leroy made me feel ________.,furious,disappointed,irritated
leroy told us all about the recent ________ events.,threatening,hilarious,terrifying
malik feels ________.,sad,excited,scared
malik found himself in a ________ situation.,serious,funny,horrible
malik found himself in an ________ situation.,amazing,annoying,outrageous
malik made me feel ________.,furious,disappointed,irritated
malik told us all about the recent ________ events.,threatening,annoying,terrifying
melanie feels ________.,annoyed,furious,devastated
melanie found herself in a ________ situation.,serious,funny,horrible
melanie found herself in an ________ situation.,amazing,annoying,outrageous
melanie made me feel ________.,furious,disappointed,irritated
melanie told us all about the recent ________ events.,terrifying,hilarious,threatening
my aunt feels ________.,disappointed,miserable,relieved
my aunt found herself in a ________ situation.,serious,funny,horrible
my aunt found herself in an ________ situation.,amazing,annoying,outrageous
my aunt made me feel ________.,furious,disappointed,irritated
my aunt told us all about the recent ________ events.,threatening,annoying,terrifying
my boyfriend feels ________.,angry,disappointed,excited
my boyfriend found himself in a ________ situation.,serious,funny,horrible
my boyfriend found himself in an ________ situation.,amazing,annoying,outrageous
my boyfriend made me feel ________.,furious,disappointed,irritated
my boyfriend told us all about the recent ________ events.,annoying,threatening,terrifying
my brother feels ________.,scared,sad,glad
my brother found himself in a ________ situation.,serious,funny,horrible
my brother found himself in an ________ situation.,amazing,annoying,outrageous
my brother made me feel ________.,furious,disappointed,irritated
my brother told us all about the recent ________ events.,terrifying,hilarious,threatening
my dad feels ________.,depressed,relieved,terrified
my dad found himself in a ________ situation.,serious,funny,horrible
my dad found himself in an ________ situation.,amazing,annoying,outrageous
my dad made me feel ________.,furious,disappointed,irritated
my dad told us all about the recent ________ events.,threatening,terrifying,hilarious
my daughter feels ________.,scared,sad,glad
my daughter found herself in a ________ situation.,serious,funny,horrible
my daughter found herself in an ________ situation.,amazing,annoying,outrageous
my daughter made me feel ________.,furious,disappointed,happy
my daughter told us all about the recent ________ events.,annoying,threatening,terrifying
my father feels ________.,scared,glad,sad
my father found himself in a ________ situation.,serious,funny,horrible
my father found himself in an ________ situation.,amazing,annoying,outrageous
my father made me feel ________.,furious,disappointed,happy
my father told us all about the recent ________ events.,threatening,terrifying,hilarious
my girlfriend feels ________.,angry,excited,sad
my girlfriend found herself in a ________ situation.,serious,funny,horrible
my girlfriend found herself in an ________ situation.,amazing,annoying,outrageous
my girlfriend made me feel ________.,furious,disappointed,irritated
my girlfriend told us all about the recent ________ events.,threatening,terrifying,hilarious
my husband feels ________.,scared,sad,excited
my husband found himself in a ________ situation.,serious,funny,horrible
my husband found himself in an ________ situation.,amazing,annoying,outrageous
my husband made me feel ________.,furious,disappointed,happy
my husband told us all about the recent ________ events.,annoying,threatening,terrifying
my mom feels ________.,scared,glad,sad
my mom found herself in a ________ situation.,serious,funny,horrible
my mom found herself in an ________ situation.,amazing,annoying,outrageous
my mom made me feel ________.,furious,disappointed,irritated
my mom told us all about the recent ________ events.,threatening,annoying,terrifying
my mother feels ________.,scared,glad,sad
my mother found herself in a ________ situation.,serious,funny,horrible
my mother found herself in an ________ situation.,amazing,annoying,outrageous
my mother made me feel ________.,furious,disappointed,irritated
my mother told us all about the recent ________ events.,threatening,annoying,terrifying
my sister feels ________.,sad,excited,scared
my sister found herself in a ________ situation.,serious,funny,horrible
my sister found herself in an ________ situation.,amazing,annoying,outrageous
my sister made me feel ________.,furious,disappointed,happy
my sister told us all about the recent ________ events.,threatening,annoying,terrifying
my son feels ________.,scared,sad,excited
my son found himself in a ________ situation.,serious,funny,horrible
my son found himself in an ________ situation.,amazing,annoying,outrageous
my son made me feel ________.,furious,disappointed,happy
my son told us all about the recent ________ events.,annoying,threatening,terrifying
my uncle feels ________.,disappointed,miserable,angry
my uncle found himself in a ________ situation.,serious,funny,horrible
my uncle found himself in an ________ situation.,amazing,annoying,outrageous
my uncle made me feel ________.,furious,disappointed,irritated
my uncle told us all about the recent ________ events.,threatening,annoying,terrifying
my wife feels ________.,scared,glad,sad
my wife found herself in a ________ situation.,serious,funny,horrible
my wife found herself in an ________ situation.,amazing,annoying,outrageous
my wife made me feel ________.,furious,disappointed,happy
my wife told us all about the recent ________ events.,threatening,annoying,terrifying
nancy feels ________.,disappointed,miserable,relieved
nancy found herself in a ________ situation.,serious,funny,horrible
nancy found herself in an ________ situation.,amazing,annoying,outrageous
nancy made me feel ________.,furious,disappointed,irritated
nancy told us all about the recent ________ events.,threatening,annoying,terrifying
nichelle feels ________.,sad,excited,scared
nichelle found herself in a ________ situation.,serious,funny,horrible
nichelle found herself in an ________ situation.,amazing,annoying,outrageous
nichelle made me feel ________.,furious,disappointed,irritated
nichelle told us all about the recent ________ events.,threatening,annoying,terrifying
roger feels ________.,disappointed,miserable,relieved
roger found himself in a ________ situation.,serious,funny,horrible
roger found himself in an ________ situation.,amazing,annoying,outrageous
roger made me feel ________.,furious,disappointed,irritated
roger told us all about the recent ________ events.,threatening,annoying,terrifying
ryan feels ________.,relieved,depressed,miserable
ryan found himself in a ________ situation.,serious,funny,horrible
ryan found himself in an ________ situation.,amazing,annoying,outrageous
ryan made me feel ________.,furious,disappointed,irritated
ryan told us all about the recent ________ events.,threatening,annoying,terrifying
shaniqua feels ________.,annoyed,furious,devastated
shaniqua found herself in a ________ situation.,serious,funny,horrible
shaniqua found herself in an ________ situation.,amazing,annoying,outrageous
shaniqua made me feel ________.,furious,disappointed,irritated
shaniqua told us all about the recent ________ events.,terrifying,hilarious,threatening
she feels ________.,miserable,relieved,depressed
she found herself in a ________ situation.,serious,funny,horrible
she found herself in an ________ situation.,amazing,annoying,outrageous
she made me feel ________.,furious,disappointed,irritated
she told us all about the recent ________ events.,threatening,annoying,terrifying
shereen feels ________.,sad,excited,scared
shereen found herself in a ________ situation.,serious,funny,horrible
shereen found herself in an ________ situation.,amazing,annoying,outrageous
shereen made me feel ________.,furious,disappointed,irritated
shereen told us all about the recent ________ events.,threatening,annoying,terrifying
stephanie feels ________.,relieved,depressed,miserable
stephanie found herself in a ________ situation.,serious,funny,horrible
stephanie found herself in an ________ situation.,amazing,annoying,outrageous
stephanie made me feel ________.,furious,disappointed,irritated
