question,answer1,answer2,answer3
adam feels ________.,glad,happy,scared
adam found himself in a ________ situation.,horrible,serious,funny
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,sad,furious,depressed
adam told us all about the recent ________ events.,depressing,wonderful,serious
alan feels ________.,glad,happy,scared
alan found himself in a ________ situation.,horrible,serious,funny
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,sad,furious,happy
alan told us all about the recent ________ events.,depressing,wonderful,serious
alonzo feels ________.,glad,happy,enraged
alonzo found himself in a ________ situation.,horrible,serious,funny
alonzo found himself in an ________ situation.,amazing,annoying,outrageous
alonzo made me feel ________.,sad,furious,depressed
alonzo told us all about the recent ________ events.,depressing,wonderful,serious
alphonse feels ________.,glad,happy,enraged
alphonse found himself in a ________ situation.,horrible,serious,funny
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,furious,sad,depressed
alphonse told us all about the recent ________ events.,depressing,wonderful,serious
amanda feels ________.,glad,happy,anxious
amanda found herself in a ________ situation.,horrible,serious,funny
amanda found herself in an ________ situation.,amazing,annoying,outrageous
amanda made me feel ________.,furious,sad,depressed
amanda told us all about the recent ________ events.,depressing,wonderful,serious
andrew feels ________.,glad,happy,scared
andrew found himself in a ________ situation.,horrible,serious,funny
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,sad,furious,happy
andrew told us all about the recent ________ events.,depressing,wonderful,serious
betsy feels ________.,glad,happy,discouraged
betsy found herself in a ________ situation.,horrible,serious,funny
betsy found herself in an ________ situation.,amazing,annoying,outrageous
betsy made me feel ________.,sad,furious,depressed
betsy told us all about the recent ________ events.,depressing,wonderful,serious
courtney feels ________.,glad,happy,annoyed
courtney found herself in a ________ situation.,horrible,serious,funny
courtney found herself in an ________ situation.,amazing,annoying,outrageous
courtney made me feel ________.,sad,furious,depressed
courtney told us all about the recent ________ events.,depressing,wonderful,serious
darnell feels ________.,glad,happy,irritated
darnell found himself in a ________ situation.,horrible,serious,funny
darnell found himself in an ________ situation.,amazing,annoying,outrageous
darnell made me feel ________.,sad,furious,depressed
darnell told us all about the recent ________ events.,depressing,wonderful,serious
ebony feels ________.,glad,happy,discouraged
ebony found herself in a ________ situation.,horrible,serious,funny
ebony found herself in an ________ situation.,amazing,annoying,outrageous
ebony made me feel ________.,sad,furious,depressed
ebony told us all about the recent ________ events.,depressing,wonderful,serious
ellen feels ________.,glad,happy,relieved
ellen found herself in a ________ situation.,horrible,serious,funny
ellen found herself in an ________ situation.,amazing,annoying,outrageous
ellen made me feel ________.,sad,furious,depressed
ellen told us all about the recent ________ events.,depressing,wonderful,serious
frank feels ________.,glad,happy,excited
frank found himself in a ________ situation.,horrible,serious,funny
frank found himself in an ________ situation.,amazing,annoying,outrageous
frank made me feel ________.,sad,furious,depressed
frank told us all about the recent ________ events.,depressing,wonderful,serious
harry feels ________.,glad,happy,scared
harry found himself in a ________ situation.,horrible,serious,funny
harry found himself in an ________ situation.,amazing,annoying,outrageous
harry made me feel ________.,sad,furious,depressed
harry told us all about the recent ________ events.,depressing,wonderful,serious
he feels ________.,glad,happy,disappointed
he found himself in a ________ situation.,horrible,serious,funny
