question,answer1,answer2,answer3
adam feels ________.,angry,scared,sad
adam found himself in a ________ situation.,great,serious,grim
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,miserable,sad,scared
adam told us all about the recent ________ events.,great,funny,amazing
alan feels ________.,angry,excited,scared
alan found himself in a ________ situation.,great,serious,grim
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,miserable,sad,scared
alan told us all about the recent ________ events.,great,funny,amazing
alonzo feels ________.,happy,excited,angry
alonzo found himself in a ________ situation.,great,serious,grim
alonzo found himself in an ________ situation.,amazing,annoying,outrageous
alonzo made me feel ________.,miserable,sad,scared
alonzo told us all about the recent ________ events.,great,funny,amazing
alphonse feels ________.,discouraged,relieved,annoyed
alphonse found himself in a ________ situation.,great,grim,serious
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,miserable,terrified,devastated
alphonse told us all about the recent ________ events.,great,threatening,grim
amanda feels ________.,anxious,depressed,sad
amanda found herself in a ________ situation.,great,grim,serious
amanda found herself in an ________ situation.,amazing,annoying,outrageous
amanda made me feel ________.,miserable,anxious,depressed
amanda told us all about the recent ________ events.,great,funny,threatening
andrew feels ________.,excited,angry,scared
andrew found himself in a ________ situation.,great,serious,grim
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,miserable,sad,scared
andrew told us all about the recent ________ events.,great,funny,amazing
betsy feels ________.,terrified,furious,devastated
betsy found herself in a ________ situation.,great,grim,serious
betsy found herself in an ________ situation.,amazing,annoying,outrageous
betsy made me feel ________.,miserable,anxious,depressed
betsy told us all about the recent ________ events.,great,funny,threatening
courtney feels ________.,disappointed,glad,anxious
courtney found herself in a ________ situation.,great,grim,serious
courtney found herself in an ________ situation.,amazing,annoying,outrageous
courtney made me feel ________.,miserable,anxious,depressed
courtney told us all about the recent ________ events.,great,funny,threatening
darnell feels ________.,relieved,miserable,discouraged
darnell found himself in a ________ situation.,great,grim,serious
darnell found himself in an ________ situation.,amazing,annoying,outrageous
darnell made me feel ________.,miserable,glad,disappointed
darnell told us all about the recent ________ events.,great,funny,threatening
ebony feels ________.,terrified,furious,devastated
