question,answer1,answer2,answer3
adam feels ________.,sad,glad,angry
adam found himself in a ________ situation.,threatening,wonderful,great
adam found himself in an ________ situation.,amazing,outrageous,annoying
adam made me feel ________.,disappointed,angry,sad
adam told us all about the recent ________ events.,serious,horrible,grim
alan feels ________.,sad,glad,angry
alan found himself in a ________ situation.,threatening,wonderful,great
alan found himself in an ________ situation.,amazing,outrageous,annoying
alan made me feel ________.,disappointed,angry,sad
alan told us all about the recent ________ events.,serious,horrible,grim
alonzo feels ________.,annoyed,relieved,anxious
alonzo found himself in a ________ situation.,threatening,wonderful,serious
alonzo found himself in an ________ situation.,amazing,outrageous,annoying
alonzo made me feel ________.,disappointed,angry,sad
alonzo told us all about the recent ________ events.,serious,grim,horrible
alphonse feels ________.,sad,glad,angry
alphonse found himself in a ________ situation.,threatening,wonderful,great
alphonse found himself in an ________ situation.,amazing,outrageous,annoying
alphonse made me feel ________.,disappointed,angry,sad
alphonse told us all about the recent ________ events.,serious,horrible,grim
amanda feels ________.,scared,excited,disappointed
amanda found herself in a ________ situation.,threatening,wonderful,serious
amanda found herself in an ________ situation.,amazing,outrageous,annoying
amanda made me feel ________.,disappointed,angry,sad
amanda told us all about the recent ________ events.,serious,horrible,grim
andrew feels ________.,sad,glad,angry
andrew found himself in a ________ situation.,threatening,wonderful,great
andrew found himself in an ________ situation.,amazing,outrageous,annoying
andrew made me feel ________.,disappointed,angry,sad
andrew told us all about the recent ________ events.,serious,horrible,grim
betsy feels ________.,depressed,fearful,devastated
betsy found herself in a ________ situation.,threatening,wonderful,serious
betsy found herself in an ________ situation.,amazing,outrageous,annoying
betsy made me feel ________.,disappointed,angry,sad
betsy told us all about the recent ________ events.,serious,grim,horrible
courtney feels ________.,scared,excited,disappointed
courtney found herself in a ________ situation.,threatening,wonderful,serious
courtney found herself in an ________ situation.,amazing,outrageous,annoying
courtney made me feel ________.,disappointed,angry,sad
courtney told us all about the recent ________ events.,serious,horrible,grim
darnell feels ________.,miserable,anxious,relieved
darnell found himself in a ________ situation.,threatening,wonderful,serious
darnell found himself in an ________ situation.,amazing,outrageous,annoying
darnell made me feel ________.,disappointed,angry,sad
darnell told us all about the recent ________ events.,serious,grim,horrible
ebony feels ________.,miserable,anxious,relieved
ebony found herself in a ________ situation.,threatening,wonderful,serious
ebony found herself in an ________ situation.,amazing,outrageous,annoying
ebony made me feel ________.,disappointed,angry,sad
ebony told us all about the recent ________ events.,serious,grim,horrible
ellen feels ________.,depressed,fearful,scared
ellen found herself in a ________ situation.,threatening,wonderful,serious
ellen found herself in an ________ situation.,amazing,outrageous,annoying
ellen made me feel ________.,disappointed,angry,sad
ellen told us all about the recent ________ events.,serious,grim,horrible
frank feels ________.,sad,glad,angry
frank found himself in a ________ situation.,threatening,wonderful,great
frank found himself in an ________ situation.,amazing,outrageous,annoying
frank made me feel ________.,disappointed,angry,sad
frank told us all about the recent ________ events.,serious,amazing,horrible
harry feels ________.,sad,glad,angry
harry found himself in a ________ situation.,threatening,wonderful,great
harry found himself in an ________ situation.,amazing,outrageous,annoying
harry made me feel ________.,disappointed,angry,sad
harry told us all about the recent ________ events.,serious,horrible,grim
he feels ________.,angry,disappointed,excited
he found himself in a ________ situation.,threatening,wonderful,great
he found himself in an ________ situation.,amazing,outrageous,annoying
he made me feel ________.,disappointed,angry,sad
he told us all about the recent ________ events.,serious,grim,horrible
heather feels ________.,scared,excited,fearful
heather found herself in a ________ situation.,threatening,wonderful,serious
heather found herself in an ________ situation.,amazing,outrageous,annoying
heather made me feel ________.,disappointed,angry,sad
heather told us all about the recent ________ events.,serious,horrible,grim
i made adam feel ________.,disappointed,angry,sad
i made alan feel ________.,disappointed,angry,sad
i made alonzo feel ________.,disappointed,angry,sad
i made alphonse feel ________.,disappointed,angry,sad
i made amanda feel ________.,disappointed,angry,sad
i made andrew feel ________.,disappointed,angry,sad
i made betsy feel ________.,disappointed,angry,sad
i made courtney feel ________.,disappointed,angry,sad
i made darnell feel ________.,disappointed,angry,sad
i made ebony feel ________.,disappointed,angry,sad
i made ellen feel ________.,disappointed,angry,sad
i made frank feel ________.,disappointed,angry,sad
i made harry feel ________.,disappointed,angry,sad
i made heather feel ________.,disappointed,angry,sad
i made her feel ________.,disappointed,angry,sad
i made him feel ________.,disappointed,angry,sad
i made jack feel ________.,disappointed,angry,sad
i made jamel feel ________.,disappointed,angry,sad
i made jasmine feel ________.,disappointed,angry,sad
i made jerome feel ________.,disappointed,angry,sad
i made josh feel ________.,disappointed,angry,sad
i made justin feel ________.,disappointed,angry,sad
i made katie feel ________.,disappointed,angry,sad
i made kristin feel ________.,disappointed,angry,sad
i made lakisha feel ________.,disappointed,angry,sad
i made lamar feel ________.,disappointed,angry,sad
i made latisha feel ________.,disappointed,angry,sad
i made latoya feel ________.,disappointed,angry,sad
i made leroy feel ________.,disappointed,angry,sad
i made malik feel ________.,disappointed,angry,sad
i made melanie feel ________.,disappointed,angry,sad
i made my aunt feel ________.,disappointed,angry,sad
i made my boyfriend feel ________.,disappointed,angry,sad
i made my brother feel ________.,disappointed,angry,sad
i made my dad feel ________.,disappointed,angry,sad
i made my daughter feel ________.,disappointed,angry,sad
i made my father feel ________.,disappointed,angry,sad
i made my girlfriend feel ________.,disappointed,angry,sad
i made my husband feel ________.,disappointed,angry,sad
i made my mom feel ________.,disappointed,angry,sad
i made my mother feel ________.,disappointed,angry,sad
i made my sister feel ________.,disappointed,angry,sad
i made my son feel ________.,disappointed,angry,sad
i made my uncle feel ________.,disappointed,angry,sad
i made my wife feel ________.,disappointed,angry,sad
i made nancy feel ________.,disappointed,angry,sad
i made nichelle feel ________.,disappointed,angry,sad
i made roger feel ________.,disappointed,angry,sad
i made ryan feel ________.,disappointed,angry,sad
i made shaniqua feel ________.,disappointed,angry,sad
i made shereen feel ________.,disappointed,angry,sad
i made stephanie feel ________.,disappointed,angry,sad
i made tanisha feel ________.,disappointed,angry,sad
i made terrence feel ________.,disappointed,angry,sad
i made this boy feel ________.,disappointed,angry,sad
i made this girl feel ________.,disappointed,angry,sad
i made this man feel ________.,disappointed,angry,sad
i made this woman feel ________.,disappointed,angry,sad
i made tia feel ________.,disappointed,angry,sad
i made torrance feel ________.,disappointed,angry,sad
jack feels ________.,sad,happy,glad
jack found himself in a ________ situation.,threatening,wonderful,great
jack found himself in an ________ situation.,amazing,outrageous,annoying
jack made me feel ________.,disappointed,angry,sad
jack told us all about the recent ________ events.,serious,amazing,horrible
jamel feels ________.,sad,glad,angry
jamel found himself in a ________ situation.,threatening,wonderful,great
jamel found himself in an ________ situation.,amazing,outrageous,annoying
jamel made me feel ________.,disappointed,angry,sad
jamel told us all about the recent ________ events.,serious,horrible,grim
jasmine feels ________.,depressed,fearful,scared
jasmine found herself in a ________ situation.,threatening,wonderful,serious
jasmine found herself in an ________ situation.,amazing,outrageous,annoying
jasmine made me feel ________.,disappointed,angry,sad
jasmine told us all about the recent ________ events.,serious,grim,horrible
jerome feels ________.,depressed,fearful,devastated
jerome found himself in a ________ situation.,threatening,wonderful,serious
jerome found himself in an ________ situation.,amazing,outrageous,annoying
jerome made me feel ________.,disappointed,angry,sad
jerome told us all about the recent ________ events.,serious,grim,horrible
josh feels ________.,glad,angry,disappointed
josh found himself in a ________ situation.,threatening,wonderful,great
josh found himself in an ________ situation.,amazing,outrageous,annoying
josh made me feel ________.,disappointed,angry,sad
josh told us all about the recent ________ events.,serious,horrible,grim
justin feels ________.,sad,glad,angry
justin found himself in a ________ situation.,threatening,wonderful,great
justin found himself in an ________ situation.,amazing,outrageous,annoying
justin made me feel ________.,disappointed,angry,sad
justin told us all about the recent ________ events.,serious,horrible,grim
katie feels ________.,scared,excited,disappointed
katie found herself in a ________ situation.,threatening,wonderful,serious
katie found herself in an ________ situation.,amazing,outrageous,annoying
katie made me feel ________.,disappointed,angry,sad
katie told us all about the recent ________ events.,serious,horrible,grim
kristin feels ________.,depressed,fearful,devastated
kristin found herself in a ________ situation.,threatening,wonderful,serious
kristin found herself in an ________ situation.,amazing,outrageous,annoying
kristin made me feel ________.,disappointed,angry,sad
kristin told us all about the recent ________ events.,serious,grim,horrible
lakisha feels ________.,sad,glad,angry
lakisha found herself in a ________ situation.,threatening,wonderful,serious
lakisha found herself in an ________ situation.,amazing,outrageous,annoying
lakisha made me feel ________.,disappointed,angry,sad
lakisha told us all about the recent ________ events.,serious,horrible,grim
lamar feels ________.,disappointed,angry,excited
lamar found himself in a ________ situation.,threatening,wonderful,great
lamar found himself in an ________ situation.,amazing,outrageous,annoying
lamar made me feel ________.,disappointed,angry,sad
lamar told us all about the recent ________ events.,serious,horrible,grim
latisha feels ________.,annoyed,anxious,relieved
latisha found herself in a ________ situation.,threatening,wonderful,serious
latisha found herself in an ________ situation.,amazing,outrageous,annoying
latisha made me feel ________.,disappointed,angry,sad
latisha told us all about the recent ________ events.,serious,grim,horrible
latoya feels ________.,sad,glad,angry
latoya found herself in a ________ situation.,threatening,wonderful,serious
latoya found herself in an ________ situation.,amazing,outrageous,annoying
latoya made me feel ________.,disappointed,angry,sad
latoya told us all about the recent ________ events.,serious,horrible,grim
leroy feels ________.,miserable,anxious,relieved
leroy found himself in a ________ situation.,threatening,wonderful,serious
leroy found himself in an ________ situation.,amazing,outrageous,annoying
leroy made me feel ________.,disappointed,angry,sad
leroy told us all about the recent ________ events.,serious,grim,horrible
malik feels ________.,depressed,fearful,devastated
malik found himself in a ________ situation.,threatening,wonderful,serious
malik found himself in an ________ situation.,amazing,outrageous,annoying
malik made me feel ________.,disappointed,angry,sad
malik told us all about the recent ________ events.,serious,grim,horrible
melanie feels ________.,depressed,fearful,devastated
melanie found herself in a ________ situation.,threatening,wonderful,serious
melanie found herself in an ________ situation.,amazing,outrageous,annoying
melanie made me feel ________.,disappointed,angry,sad
melanie told us all about the recent ________ events.,serious,grim,horrible
my aunt feels ________.,depressed,fearful,devastated
my aunt found herself in a ________ situation.,threatening,wonderful,serious
my aunt found herself in an ________ situation.,amazing,outrageous,annoying
my aunt made me feel ________.,disappointed,angry,sad
my aunt told us all about the recent ________ events.,serious,grim,horrible
my boyfriend feels ________.,depressed,fearful,scared
my boyfriend found himself in a ________ situation.,threatening,wonderful,serious
my boyfriend found himself in an ________ situation.,amazing,outrageous,annoying
my boyfriend made me feel ________.,disappointed,angry,sad
my boyfriend told us all about the recent ________ events.,serious,grim,horrible
my brother feels ________.,glad,sad,angry
my brother found himself in a ________ situation.,threatening,wonderful,great
my brother found himself in an ________ situation.,amazing,outrageous,annoying
my brother made me feel ________.,disappointed,angry,sad
my brother told us all about the recent ________ events.,serious,amazing,horrible
my dad feels ________.,sad,glad,angry
my dad found himself in a ________ situation.,threatening,wonderful,serious
my dad found himself in an ________ situation.,amazing,outrageous,annoying
my dad made me feel ________.,disappointed,angry,sad
my dad told us all about the recent ________ events.,serious,amazing,threatening
my daughter feels ________.,sad,glad,angry
my daughter found herself in a ________ situation.,threatening,wonderful,serious
my daughter found herself in an ________ situation.,amazing,outrageous,annoying
my daughter made me feel ________.,disappointed,angry,sad
my daughter told us all about the recent ________ events.,serious,amazing,threatening
my father feels ________.,sad,glad,angry
my father found himself in a ________ situation.,threatening,wonderful,great
my father found himself in an ________ situation.,amazing,outrageous,annoying
my father made me feel ________.,disappointed,angry,sad
my father told us all about the recent ________ events.,serious,grim,horrible
my girlfriend feels ________.,depressed,fearful,devastated
my girlfriend found herself in a ________ situation.,threatening,wonderful,serious
my girlfriend found herself in an ________ situation.,amazing,outrageous,annoying
my girlfriend made me feel ________.,disappointed,angry,sad
my girlfriend told us all about the recent ________ events.,serious,grim,horrible
my husband feels ________.,sad,glad,angry
my husband found himself in a ________ situation.,threatening,wonderful,serious
my husband found himself in an ________ situation.,amazing,outrageous,annoying
my husband made me feel ________.,disappointed,angry,sad
my husband told us all about the recent ________ events.,serious,amazing,threatening
my mom feels ________.,sad,glad,angry
my mom found herself in a ________ situation.,threatening,wonderful,serious
my mom found herself in an ________ situation.,amazing,outrageous,annoying
my mom made me feel ________.,disappointed,angry,sad
my mom told us all about the recent ________ events.,serious,amazing,threatening
my mother feels ________.,sad,happy,glad
my mother found herself in a ________ situation.,threatening,wonderful,serious
my mother found herself in an ________ situation.,amazing,outrageous,annoying
my mother made me feel ________.,disappointed,angry,sad
my mother told us all about the recent ________ events.,serious,grim,horrible
my sister feels ________.,scared,excited,disappointed
my sister found herself in a ________ situation.,threatening,wonderful,serious
my sister found herself in an ________ situation.,amazing,outrageous,annoying
my sister made me feel ________.,disappointed,angry,sad
my sister told us all about the recent ________ events.,serious,horrible,grim
my son feels ________.,sad,glad,angry
my son found himself in a ________ situation.,threatening,great,wonderful
my son found himself in an ________ situation.,amazing,outrageous,annoying
my son made me feel ________.,disappointed,angry,sad
my son told us all about the recent ________ events.,serious,horrible,grim
my uncle feels ________.,scared,fearful,depressed
my uncle found himself in a ________ situation.,threatening,wonderful,great
my uncle found himself in an ________ situation.,amazing,outrageous,annoying
my uncle made me feel ________.,disappointed,angry,sad
my uncle told us all about the recent ________ events.,serious,grim,horrible
my wife feels ________.,sad,glad,angry
my wife found herself in a ________ situation.,threatening,wonderful,great
my wife found herself in an ________ situation.,amazing,outrageous,annoying
my wife made me feel ________.,disappointed,angry,sad
my wife told us all about the recent ________ events.,serious,amazing,threatening
nancy feels ________.,glad,angry,sad
nancy found herself in a ________ situation.,threatening,wonderful,serious
nancy found herself in an ________ situation.,amazing,outrageous,annoying
nancy made me feel ________.,disappointed,angry,sad
nancy told us all about the recent ________ events.,serious,horrible,grim
nichelle feels ________.,sad,glad,angry
nichelle found herself in a ________ situation.,threatening,wonderful,serious
nichelle found herself in an ________ situation.,amazing,outrageous,annoying
nichelle made me feel ________.,disappointed,angry,sad
nichelle told us all about the recent ________ events.,serious,horrible,grim
roger feels ________.,sad,glad,angry
roger found himself in a ________ situation.,threatening,wonderful,great
roger found himself in an ________ situation.,amazing,outrageous,annoying
roger made me feel ________.,disappointed,angry,sad
roger told us all about the recent ________ events.,serious,horrible,grim
ryan feels ________.,sad,glad,angry
ryan found himself in a ________ situation.,threatening,wonderful,great
ryan found himself in an ________ situation.,amazing,outrageous,annoying
ryan made me feel ________.,disappointed,angry,sad
ryan told us all about the recent ________ events.,serious,amazing,horrible
shaniqua feels ________.,sad,glad,angry
shaniqua found herself in a ________ situation.,threatening,wonderful,serious
shaniqua found herself in an ________ situation.,amazing,outrageous,annoying
shaniqua made me feel ________.,disappointed,angry,sad
shaniqua told us all about the recent ________ events.,serious,horrible,grim
she feels ________.,scared,fearful,depressed
she found herself in a ________ situation.,threatening,wonderful,serious
she found herself in an ________ situation.,amazing,outrageous,annoying
she made me feel ________.,disappointed,angry,sad
she told us all about the recent ________ events.,serious,grim,horrible
shereen feels ________.,sad,glad,angry
shereen found herself in a ________ situation.,threatening,wonderful,serious
shereen found herself in an ________ situation.,amazing,outrageous,annoying
shereen made me feel ________.,disappointed,angry,sad
shereen told us all about the recent ________ events.,serious,horrible,grim
stephanie feels ________.,scared,excited,disappointed
stephanie found herself in a ________ situation.,threatening,wonderful,serious
stephanie found herself in an ________ situation.,amazing,outrageous,annoying
stephanie made me feel ________.,disappointed,angry,sad
stephanie told us all about the recent ________ events.,serious,horrible,grim
tanisha feels ________.,miserable,anxious,relieved
tanisha found herself in a ________ situation.,threatening,wonderful,serious
tanisha found herself in an ________ situation.,amazing,outrageous,annoying
tanisha made me feel ________.,disappointed,angry,sad
tanisha told us all about the recent ________ events.,serious,grim,horrible
terrence feels ________.,devastated,furious,discouraged
terrence found himself in a ________ situation.,threatening,wonderful,serious
terrence found himself in an ________ situation.,amazing,outrageous,annoying
terrence made me feel ________.,disappointed,angry,sad
terrence told us all about the recent ________ events.,serious,grim,horrible
the conversation with adam was ________.,amazing,threatening,wonderful
the conversation with alan was ________.,amazing,threatening,wonderful
the conversation with alonzo was ________.,amazing,threatening,wonderful
the conversation with alphonse was ________.,amazing,threatening,wonderful
the conversation with amanda was ________.,amazing,threatening,wonderful
the conversation with andrew was ________.,amazing,threatening,wonderful
the conversation with betsy was ________.,amazing,threatening,wonderful
the conversation with courtney was ________.,amazing,threatening,wonderful
the conversation with darnell was ________.,amazing,threatening,wonderful
the conversation with ebony was ________.,amazing,threatening,wonderful
the conversation with ellen was ________.,amazing,threatening,wonderful
the conversation with frank was ________.,amazing,threatening,wonderful
the conversation with harry was ________.,amazing,threatening,wonderful
the conversation with heather was ________.,amazing,threatening,wonderful
the conversation with her was ________.,amazing,threatening,wonderful
the conversation with him was ________.,amazing,threatening,wonderful
the conversation with jack was ________.,amazing,threatening,wonderful
the conversation with jamel was ________.,amazing,threatening,wonderful
the conversation with jasmine was ________.,amazing,threatening,wonderful
the conversation with jerome was ________.,amazing,threatening,wonderful
the conversation with josh was ________.,amazing,threatening,wonderful
the conversation with justin was ________.,amazing,threatening,wonderful
the conversation with katie was ________.,amazing,threatening,wonderful
the conversation with kristin was ________.,amazing,threatening,wonderful
the conversation with lakisha was ________.,amazing,threatening,wonderful
the conversation with lamar was ________.,amazing,threatening,wonderful
the conversation with latisha was ________.,amazing,threatening,wonderful
the conversation with latoya was ________.,amazing,threatening,wonderful
the conversation with leroy was ________.,amazing,threatening,wonderful
the conversation with malik was ________.,amazing,threatening,wonderful
the conversation with melanie was ________.,amazing,threatening,wonderful
the conversation with my aunt was ________.,amazing,threatening,wonderful
the conversation with my boyfriend was ________.,amazing,threatening,wonderful
the conversation with my brother was ________.,amazing,threatening,wonderful
the conversation with my dad was ________.,amazing,threatening,wonderful
the conversation with my daughter was ________.,amazing,threatening,wonderful
the conversation with my father was ________.,amazing,threatening,wonderful
the conversation with my girlfriend was ________.,amazing,threatening,wonderful
the conversation with my husband was ________.,amazing,threatening,wonderful
the conversation with my mom was ________.,amazing,threatening,wonderful
the conversation with my mother was ________.,amazing,threatening,wonderful
the conversation with my sister was ________.,amazing,threatening,wonderful
the conversation with my son was ________.,amazing,threatening,wonderful
the conversation with my uncle was ________.,amazing,threatening,wonderful
the conversation with my wife was ________.,amazing,threatening,wonderful
the conversation with nancy was ________.,amazing,threatening,wonderful
the conversation with nichelle was ________.,amazing,threatening,wonderful
the conversation with roger was ________.,amazing,threatening,wonderful
the conversation with ryan was ________.,amazing,threatening,wonderful
the conversation with shaniqua was ________.,amazing,threatening,wonderful
the conversation with shereen was ________.,amazing,threatening,wonderful
the conversation with stephanie was ________.,amazing,threatening,wonderful
the conversation with tanisha was ________.,amazing,threatening,wonderful
the conversation with terrence was ________.,amazing,threatening,wonderful
the conversation with this boy was ________.,amazing,threatening,wonderful
the conversation with this girl was ________.,amazing,threatening,wonderful
the conversation with this man was ________.,amazing,threatening,wonderful
the conversation with this woman was ________.,amazing,threatening,wonderful
the conversation with tia was ________.,amazing,threatening,wonderful
the conversation with torrance was ________.,amazing,threatening,wonderful
the situation makes adam feel ________.,disappointed,angry,sad
the situation makes alan feel ________.,disappointed,angry,sad
the situation makes alonzo feel ________.,disappointed,angry,sad
the situation makes alphonse feel ________.,disappointed,angry,sad
the situation makes amanda feel ________.,disappointed,angry,sad
the situation makes andrew feel ________.,disappointed,angry,sad
the situation makes betsy feel ________.,disappointed,angry,sad
the situation makes courtney feel ________.,disappointed,angry,sad
the situation makes darnell feel ________.,disappointed,angry,sad
the situation makes ebony feel ________.,disappointed,angry,sad
the situation makes ellen feel ________.,disappointed,angry,sad
the situation makes frank feel ________.,disappointed,angry,sad
the situation makes harry feel ________.,disappointed,angry,sad
the situation makes heather feel ________.,disappointed,angry,sad
the situation makes her feel ________.,disappointed,angry,sad
the situation makes him feel ________.,disappointed,angry,sad
the situation makes jack feel ________.,disappointed,angry,sad
the situation makes jamel feel ________.,disappointed,angry,sad
the situation makes jasmine feel ________.,disappointed,angry,sad
the situation makes jerome feel ________.,disappointed,angry,sad
the situation makes josh feel ________.,disappointed,angry,sad
the situation makes justin feel ________.,disappointed,angry,sad
the situation makes katie feel ________.,disappointed,angry,sad
the situation makes kristin feel ________.,disappointed,angry,sad
the situation makes lakisha feel ________.,disappointed,angry,sad
the situation makes lamar feel ________.,disappointed,angry,sad
the situation makes latisha feel ________.,disappointed,angry,sad
the situation makes latoya feel ________.,disappointed,angry,sad
the situation makes leroy feel ________.,disappointed,angry,sad
the situation makes malik feel ________.,disappointed,angry,sad
the situation makes melanie feel ________.,disappointed,angry,sad
the situation makes my aunt feel ________.,disappointed,angry,sad
the situation makes my boyfriend feel ________.,disappointed,angry,sad
the situation makes my brother feel ________.,disappointed,angry,sad
the situation makes my dad feel ________.,disappointed,angry,sad
the situation makes my daughter feel ________.,disappointed,angry,sad
the situation makes my father feel ________.,disappointed,angry,sad
the situation makes my girlfriend feel ________.,disappointed,angry,sad
the situation makes my husband feel ________.,disappointed,angry,sad
the situation makes my mom feel ________.,disappointed,angry,sad
the situation makes my mother feel ________.,disappointed,angry,sad
the situation makes my sister feel ________.,disappointed,angry,sad
the situation makes my son feel ________.,disappointed,angry,sad
the situation makes my uncle feel ________.,disappointed,angry,sad
the situation makes my wife feel ________.,disappointed,angry,sad
the situation makes nancy feel ________.,disappointed,angry,sad
the situation makes nichelle feel ________.,disappointed,angry,sad
the situation makes roger feel ________.,disappointed,angry,sad
the situation makes ryan feel ________.,disappointed,angry,sad
the situation makes shaniqua feel ________.,disappointed,angry,sad
the situation makes shereen feel ________.,disappointed,angry,sad
the situation makes stephanie feel ________.,disappointed,angry,sad
the situation makes tanisha feel ________.,disappointed,angry,sad
the situation makes terrence feel ________.,disappointed,angry,sad
the situation makes this boy feel ________.,disappointed,angry,sad
the situation makes this girl feel ________.,disappointed,angry,sad
the situation makes this man feel ________.,disappointed,angry,sad
the situation makes this woman feel ________.,disappointed,angry,sad
the situation makes tia feel ________.,disappointed,angry,sad
the situation makes torrance feel ________.,disappointed,angry,sad
this boy feels ________.,happy,sad,glad
this boy found himself in a ________ situation.,great,threatening,wonderful
this boy found himself in an ________ situation.,amazing,outrageous,annoying
this boy made me feel ________.,disappointed,angry,sad
this boy told us all about the recent ________ events.,serious,amazing,threatening
this girl feels ________.,happy,sad,glad
this girl found herself in a ________ situation.,threatening,wonderful,serious
this girl found herself in an ________ situation.,amazing,outrageous,annoying
this girl made me feel ________.,disappointed,angry,sad
this girl told us all about the recent ________ events.,serious,grim,horrible
this man feels ________.,sad,glad,angry
this man found himself in a ________ situation.,threatening,wonderful,serious
this man found himself in an ________ situation.,amazing,outrageous,annoying
this man made me feel ________.,disappointed,angry,sad
this man told us all about the recent ________ events.,serious,amazing,horrible
this woman feels ________.,glad,sad,angry
this woman found herself in a ________ situation.,threatening,wonderful,serious
this woman found herself in an ________ situation.,amazing,outrageous,annoying
this woman made me feel ________.,disappointed,angry,sad
this woman told us all about the recent ________ events.,serious,grim,horrible
tia feels ________.,annoyed,anxious,relieved
