question,answer1,answer2,answer3
adam feels ________.,glad,miserable,annoyed
adam found himself in a ________ situation.,serious,horrible,threatening
adam found himself in an ________ situation.,amazing,outrageous,annoying
adam made me feel ________.,sad,relieved,anxious
adam told us all about the recent ________ events.,terrifying,grim,dreadful
alan feels ________.,glad,enraged,devastated
alan found himself in a ________ situation.,serious,horrible,threatening
alan found himself in an ________ situation.,amazing,outrageous,annoying
alan made me feel ________.,sad,relieved,anxious
alan told us all about the recent ________ events.,outrageous,threatening,terrifying
alonzo feels ________.,glad,angry,scared
alonzo found himself in a ________ situation.,serious,horrible,great
alonzo found himself in an ________ situation.,amazing,outrageous,annoying
alonzo made me feel ________.,sad,relieved,anxious
alonzo told us all about the recent ________ events.,dreadful,terrifying,grim
alphonse feels ________.,glad,enraged,devastated
alphonse found himself in a ________ situation.,serious,horrible,threatening
alphonse found himself in an ________ situation.,amazing,outrageous,annoying
alphonse made me feel ________.,sad,relieved,anxious
alphonse told us all about the recent ________ events.,outrageous,threatening,terrifying
amanda feels ________.,glad,enraged,devastated
amanda found herself in a ________ situation.,serious,horrible,threatening
amanda found herself in an ________ situation.,amazing,outrageous,irritating
amanda made me feel ________.,sad,relieved,anxious
amanda told us all about the recent ________ events.,outrageous,threatening,terrifying
andrew feels ________.,glad,miserable,annoyed
andrew found himself in a ________ situation.,serious,horrible,grim
andrew found himself in an ________ situation.,amazing,outrageous,annoying
andrew made me feel ________.,sad,relieved,anxious
andrew told us all about the recent ________ events.,dreadful,terrifying,grim
betsy feels ________.,glad,fearful,irritated
betsy found herself in a ________ situation.,serious,horrible,threatening
betsy found herself in an ________ situation.,amazing,outrageous,annoying
betsy made me feel ________.,sad,relieved,anxious
betsy told us all about the recent ________ events.,grim,terrifying,dreadful
courtney feels ________.,glad,angry,scared
courtney found herself in a ________ situation.,serious,horrible,threatening
courtney found herself in an ________ situation.,amazing,outrageous,annoying
courtney made me feel ________.,sad,relieved,anxious
courtney told us all about the recent ________ events.,dreadful,terrifying,grim
darnell feels ________.,glad,angry,scared
darnell found himself in a ________ situation.,serious,horrible,great
darnell found himself in an ________ situation.,amazing,outrageous,annoying
darnell made me feel ________.,sad,relieved,anxious
darnell told us all about the recent ________ events.,dreadful,terrifying,grim
ebony feels ________.,glad,irritated,fearful
ebony found herself in a ________ situation.,serious,horrible,threatening
ebony found herself in an ________ situation.,amazing,outrageous,irritating
ebony made me feel ________.,sad,relieved,anxious
ebony told us all about the recent ________ events.,outrageous,threatening,terrifying
ellen feels ________.,glad,irritated,fearful
ellen found herself in a ________ situation.,serious,horrible,threatening
ellen found herself in an ________ situation.,amazing,outrageous,irritating
ellen made me feel ________.,sad,relieved,anxious
ellen told us all about the recent ________ events.,threatening,outrageous,gloomy
frank feels ________.,glad,terrified,anxious
frank found himself in a ________ situation.,serious,horrible,great
