question,answer1,answer2,answer3
adam feels ________.,happy,glad,disappointed
adam found himself in a ________ situation.,great,serious,threatening
adam found himself in an ________ situation.,irritating,amazing,annoying
adam made me feel ________.,happy,glad,disappointed
adam told us all about the recent ________ events.,great,serious,wonderful
alan feels ________.,happy,glad,disappointed
alan found himself in a ________ situation.,great,serious,threatening
alan found himself in an ________ situation.,irritating,amazing,annoying
alan made me feel ________.,happy,glad,disappointed
alan told us all about the recent ________ events.,great,serious,threatening
alonzo feels ________.,glad,happy,annoyed
alonzo found himself in a ________ situation.,great,serious,threatening
alonzo found himself in an ________ situation.,irritating,amazing,annoying
alonzo made me feel ________.,happy,glad,scared
alonzo told us all about the recent ________ events.,great,serious,threatening
alphonse feels ________.,annoyed,glad,fearful
alphonse found himself in a ________ situation.,great,serious,threatening
alphonse found himself in an ________ situation.,irritating,amazing,annoying
alphonse made me feel ________.,happy,glad,scared
alphonse told us all about the recent ________ events.,great,serious,threatening
amanda feels ________.,glad,happy,annoyed
amanda found herself in a ________ situation.,great,serious,wonderful
amanda found herself in an ________ situation.,amazing,irritating,annoying
amanda made me feel ________.,happy,glad,scared
amanda told us all about the recent ________ events.,great,serious,wonderful
andrew feels ________.,happy,glad,disappointed
andrew found himself in a ________ situation.,great,serious,threatening
andrew found himself in an ________ situation.,irritating,amazing,annoying
andrew made me feel ________.,happy,glad,disappointed
andrew told us all about the recent ________ events.,great,serious,threatening
betsy feels ________.,glad,happy,annoyed
betsy found herself in a ________ situation.,great,serious,threatening
betsy found herself in an ________ situation.,irritating,amazing,annoying
betsy made me feel ________.,happy,glad,scared
betsy told us all about the recent ________ events.,great,serious,threatening
courtney feels ________.,glad,happy,disappointed
courtney found herself in a ________ situation.,serious,great,threatening
courtney found herself in an ________ situation.,irritating,amazing,annoying
courtney made me feel ________.,happy,glad,disappointed
courtney told us all about the recent ________ events.,great,serious,threatening
darnell feels ________.,glad,happy,annoyed
darnell found himself in a ________ situation.,serious,great,threatening
darnell found himself in an ________ situation.,irritating,amazing,annoying
darnell made me feel ________.,happy,glad,scared
darnell told us all about the recent ________ events.,great,serious,threatening
ebony feels ________.,glad,happy,annoyed
ebony found herself in a ________ situation.,great,serious,threatening
ebony found herself in an ________ situation.,irritating,amazing,annoying
ebony made me feel ________.,happy,glad,scared
ebony told us all about the recent ________ events.,great,serious,threatening
ellen feels ________.,happy,glad,annoyed
ellen found herself in a ________ situation.,serious,great,wonderful
ellen found herself in an ________ situation.,irritating,amazing,annoying
ellen made me feel ________.,happy,glad,disappointed
ellen told us all about the recent ________ events.,great,serious,threatening
frank feels ________.,happy,glad,disappointed
frank found himself in a ________ situation.,great,serious,threatening
frank found himself in an ________ situation.,irritating,amazing,annoying
frank made me feel ________.,happy,glad,disappointed
frank told us all about the recent ________ events.,great,serious,threatening
harry feels ________.,happy,glad,disappointed
harry found himself in a ________ situation.,great,serious,threatening
harry found himself in an ________ situation.,irritating,amazing,annoying
harry made me feel ________.,happy,glad,disappointed
harry told us all about the recent ________ events.,great,serious,threatening
he feels ________.,happy,glad,disappointed
he found himself in a ________ situation.,great,serious,threatening
he found himself in an ________ situation.,irritating,amazing,annoying
he made me feel ________.,happy,glad,disappointed
he told us all about the recent ________ events.,great,serious,threatening
heather feels ________.,happy,glad,annoyed
heather found herself in a ________ situation.,great,serious,wonderful
heather found herself in an ________ situation.,irritating,amazing,annoying
heather made me feel ________.,happy,glad,disappointed
heather told us all about the recent ________ events.,great,serious,threatening
i made adam feel ________.,happy,glad,disappointed
i made alan feel ________.,happy,glad,disappointed
i made alonzo feel ________.,happy,glad,scared
i made alphonse feel ________.,glad,happy,scared
i made amanda feel ________.,happy,glad,disappointed
i made andrew feel ________.,happy,glad,disappointed
i made betsy feel ________.,happy,glad,scared
i made courtney feel ________.,glad,happy,disappointed
i made darnell feel ________.,glad,happy,disappointed
i made ebony feel ________.,happy,glad,scared
i made ellen feel ________.,happy,glad,disappointed
i made frank feel ________.,happy,glad,disappointed
i made harry feel ________.,happy,glad,disappointed
i made heather feel ________.,happy,glad,disappointed
i made her feel ________.,happy,glad,disappointed
