question,answer1,answer2,answer3
adam feels ________.,happy,disappointed,devastated
adam found himself in a ________ situation.,serious,shocking,great
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,angry,devastated,disappointed
adam told us all about the recent ________ events.,threatening,outrageous,shocking
alan feels ________.,happy,scared,angry
alan found himself in a ________ situation.,serious,shocking,great
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,angry,disappointed,devastated
alan told us all about the recent ________ events.,shocking,threatening,outrageous
alonzo feels ________.,happy,annoyed,enraged
alonzo found himself in a ________ situation.,serious,shocking,great
alonzo found himself in an ________ situation.,amazing,annoying,outrageous
alonzo made me feel ________.,angry,fearful,terrified
alonzo told us all about the recent ________ events.,threatening,shocking,outrageous
alphonse feels ________.,happy,excited,glad
alphonse found himself in a ________ situation.,serious,shocking,great
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,angry,disappointed,devastated
alphonse told us all about the recent ________ events.,shocking,threatening,outrageous
amanda feels ________.,happy,annoyed,enraged
amanda found herself in a ________ situation.,serious,shocking,great
amanda found herself in an ________ situation.,amazing,annoying,outrageous
amanda made me feel ________.,angry,fearful,terrified
amanda told us all about the recent ________ events.,threatening,shocking,outrageous
andrew feels ________.,happy,disappointed,scared
andrew found himself in a ________ situation.,serious,shocking,great
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,angry,devastated,disappointed
andrew told us all about the recent ________ events.,shocking,threatening,outrageous
betsy feels ________.,happy,excited,glad
betsy found herself in a ________ situation.,serious,shocking,great
betsy found herself in an ________ situation.,amazing,annoying,outrageous
betsy made me feel ________.,angry,disappointed,devastated
betsy told us all about the recent ________ events.,shocking,threatening,outrageous
courtney feels ________.,happy,excited,glad
courtney found herself in a ________ situation.,serious,shocking,great
courtney found herself in an ________ situation.,amazing,annoying,outrageous
courtney made me feel ________.,angry,disappointed,devastated
courtney told us all about the recent ________ events.,shocking,threatening,outrageous
darnell feels ________.,happy,annoyed,enraged
darnell found himself in a ________ situation.,serious,shocking,great
darnell found himself in an ________ situation.,amazing,annoying,outrageous
darnell made me feel ________.,angry,fearful,terrified
darnell told us all about the recent ________ events.,threatening,shocking,outrageous
ebony feels ________.,happy,excited,glad
ebony found herself in a ________ situation.,serious,shocking,great
ebony found herself in an ________ situation.,amazing,annoying,outrageous
ebony made me feel ________.,angry,disappointed,devastated
ebony told us all about the recent ________ events.,shocking,threatening,outrageous
ellen feels ________.,happy,relieved,furious
ellen found herself in a ________ situation.,serious,shocking,great
ellen found herself in an ________ situation.,amazing,annoying,outrageous
ellen made me feel ________.,angry,furious,anxious
ellen told us all about the recent ________ events.,shocking,threatening,outrageous
frank feels ________.,happy,excited,glad
frank found himself in a ________ situation.,serious,shocking,great
frank found himself in an ________ situation.,amazing,annoying,outrageous
frank made me feel ________.,angry,disappointed,devastated
frank told us all about the recent ________ events.,shocking,threatening,outrageous
harry feels ________.,happy,excited,glad
harry found himself in a ________ situation.,serious,shocking,great
harry found himself in an ________ situation.,amazing,annoying,outrageous
harry made me feel ________.,angry,disappointed,devastated
harry told us all about the recent ________ events.,shocking,threatening,outrageous
he feels ________.,happy,scared,angry
he found himself in a ________ situation.,serious,shocking,great
he found himself in an ________ situation.,amazing,annoying,outrageous
he made me feel ________.,angry,disappointed,devastated
he told us all about the recent ________ events.,shocking,threatening,outrageous
heather feels ________.,happy,excited,glad
heather found herself in a ________ situation.,serious,shocking,great
heather found herself in an ________ situation.,amazing,annoying,outrageous
heather made me feel ________.,angry,disappointed,devastated
heather told us all about the recent ________ events.,shocking,threatening,outrageous
i made adam feel ________.,angry,sad,glad
i made alan feel ________.,angry,glad,excited
i made alonzo feel ________.,angry,fearful,terrified
i made alphonse feel ________.,angry,happy,glad
i made amanda feel ________.,angry,fearful,terrified
i made andrew feel ________.,angry,glad,excited
i made betsy feel ________.,angry,happy,glad
i made courtney feel ________.,angry,happy,glad
i made darnell feel ________.,angry,fearful,terrified
i made ebony feel ________.,angry,happy,glad
i made ellen feel ________.,angry,disappointed,devastated
i made frank feel ________.,angry,happy,glad
i made harry feel ________.,angry,happy,glad
i made heather feel ________.,angry,happy,glad
i made her feel ________.,angry,furious,relieved
i made him feel ________.,angry,devastated,anxious
i made jack feel ________.,angry,glad,excited
i made jamel feel ________.,angry,happy,glad
i made jasmine feel ________.,angry,furious,anxious
i made jerome feel ________.,angry,fearful,terrified
i made josh feel ________.,angry,glad,excited
i made justin feel ________.,angry,scared,sad
i made katie feel ________.,angry,scared,sad
i made kristin feel ________.,angry,fearful,terrified
i made lakisha feel ________.,angry,happy,glad
i made lamar feel ________.,angry,disappointed,devastated
i made latisha feel ________.,angry,happy,glad
i made latoya feel ________.,angry,happy,glad
i made leroy feel ________.,angry,furious,anxious
i made malik feel ________.,angry,fearful,terrified
i made melanie feel ________.,angry,fearful,terrified
i made my aunt feel ________.,angry,depressed,fearful
i made my boyfriend feel ________.,angry,scared,sad
i made my brother feel ________.,angry,scared,sad
i made my dad feel ________.,angry,scared,sad
i made my daughter feel ________.,angry,sad,glad
i made my father feel ________.,angry,glad,excited
i made my girlfriend feel ________.,angry,anxious,furious
i made my husband feel ________.,angry,glad,excited
i made my mom feel ________.,angry,sad,glad
i made my mother feel ________.,angry,glad,excited
i made my sister feel ________.,angry,scared,sad
i made my son feel ________.,angry,sad,scared
i made my uncle feel ________.,angry,relieved,furious
i made my wife feel ________.,angry,glad,excited
i made nancy feel ________.,angry,glad,excited
i made nichelle feel ________.,angry,happy,glad
i made roger feel ________.,angry,sad,glad
i made ryan feel ________.,angry,glad,excited
i made shaniqua feel ________.,angry,happy,glad
i made shereen feel ________.,angry,fearful,terrified
i made stephanie feel ________.,angry,furious,anxious
i made tanisha feel ________.,angry,happy,glad
i made terrence feel ________.,angry,happy,glad
i made this boy feel ________.,angry,disappointed,devastated
i made this girl feel ________.,angry,disappointed,devastated
i made this man feel ________.,angry,glad,excited
i made this woman feel ________.,angry,disappointed,devastated
i made tia feel ________.,angry,fearful,terrified
i made torrance feel ________.,angry,fearful,terrified
jack feels ________.,happy,scared,angry
jack found himself in a ________ situation.,serious,shocking,great
jack found himself in an ________ situation.,amazing,annoying,outrageous
jack made me feel ________.,angry,disappointed,devastated
jack told us all about the recent ________ events.,shocking,threatening,outrageous
jamel feels ________.,happy,excited,glad
jamel found himself in a ________ situation.,serious,shocking,great
jamel found himself in an ________ situation.,amazing,annoying,outrageous
jamel made me feel ________.,angry,disappointed,devastated
jamel told us all about the recent ________ events.,shocking,threatening,outrageous
jasmine feels ________.,happy,depressed,terrified
jasmine found herself in a ________ situation.,serious,shocking,great
jasmine found herself in an ________ situation.,amazing,annoying,outrageous
jasmine made me feel ________.,angry,relieved,furious
jasmine told us all about the recent ________ events.,shocking,threatening,outrageous
jerome feels ________.,happy,annoyed,enraged
jerome found himself in a ________ situation.,serious,shocking,great
jerome found himself in an ________ situation.,amazing,annoying,outrageous
jerome made me feel ________.,angry,fearful,terrified
jerome told us all about the recent ________ events.,threatening,shocking,outrageous
josh feels ________.,happy,disappointed,scared
josh found himself in a ________ situation.,serious,shocking,great
josh found himself in an ________ situation.,amazing,annoying,outrageous
josh made me feel ________.,angry,devastated,disappointed
josh told us all about the recent ________ events.,shocking,threatening,outrageous
justin feels ________.,happy,devastated,anxious
justin found himself in a ________ situation.,serious,shocking,great
justin found himself in an ________ situation.,amazing,annoying,outrageous
justin made me feel ________.,angry,anxious,devastated
justin told us all about the recent ________ events.,shocking,threatening,outrageous
katie feels ________.,happy,disappointed,devastated
katie found herself in a ________ situation.,serious,shocking,great
katie found herself in an ________ situation.,amazing,annoying,outrageous
katie made me feel ________.,angry,devastated,anxious
katie told us all about the recent ________ events.,threatening,outrageous,shocking
kristin feels ________.,happy,annoyed,enraged
kristin found herself in a ________ situation.,serious,shocking,great
kristin found herself in an ________ situation.,amazing,annoying,outrageous
kristin made me feel ________.,angry,fearful,terrified
kristin told us all about the recent ________ events.,threatening,shocking,outrageous
lakisha feels ________.,happy,excited,glad
lakisha found herself in a ________ situation.,serious,shocking,great
lakisha found herself in an ________ situation.,amazing,annoying,outrageous
lakisha made me feel ________.,angry,disappointed,devastated
lakisha told us all about the recent ________ events.,shocking,threatening,outrageous
lamar feels ________.,happy,relieved,furious
lamar found himself in a ________ situation.,serious,shocking,great
lamar found himself in an ________ situation.,amazing,annoying,outrageous
lamar made me feel ________.,angry,furious,anxious
lamar told us all about the recent ________ events.,shocking,threatening,outrageous
latisha feels ________.,happy,excited,glad
latisha found herself in a ________ situation.,serious,shocking,great
latisha found herself in an ________ situation.,amazing,annoying,outrageous
latisha made me feel ________.,angry,disappointed,devastated
latisha told us all about the recent ________ events.,shocking,threatening,outrageous
latoya feels ________.,happy,excited,glad
latoya found herself in a ________ situation.,serious,shocking,great
latoya found herself in an ________ situation.,amazing,annoying,outrageous
latoya made me feel ________.,angry,disappointed,devastated
latoya told us all about the recent ________ events.,shocking,threatening,outrageous
leroy feels ________.,happy,depressed,terrified
leroy found himself in a ________ situation.,serious,shocking,great
leroy found himself in an ________ situation.,amazing,annoying,outrageous
leroy made me feel ________.,angry,relieved,furious
leroy told us all about the recent ________ events.,shocking,threatening,outrageous
malik feels ________.,happy,annoyed,enraged
malik found himself in a ________ situation.,serious,shocking,great
malik found himself in an ________ situation.,amazing,annoying,outrageous
malik made me feel ________.,angry,fearful,terrified
malik told us all about the recent ________ events.,threatening,shocking,outrageous
melanie feels ________.,happy,annoyed,enraged
melanie found herself in a ________ situation.,serious,shocking,great
melanie found herself in an ________ situation.,amazing,annoying,outrageous
melanie made me feel ________.,angry,fearful,terrified
melanie told us all about the recent ________ events.,threatening,shocking,outrageous
my aunt feels ________.,happy,miserable,depressed
my aunt found herself in a ________ situation.,serious,shocking,great
my aunt found herself in an ________ situation.,amazing,annoying,outrageous
my aunt made me feel ________.,angry,fearful,terrified
my aunt told us all about the recent ________ events.,threatening,outrageous,shocking
my boyfriend feels ________.,happy,scared,angry
my boyfriend found himself in a ________ situation.,serious,shocking,great
my boyfriend found himself in an ________ situation.,amazing,annoying,outrageous
my boyfriend made me feel ________.,angry,disappointed,devastated
my boyfriend told us all about the recent ________ events.,shocking,threatening,outrageous
my brother feels ________.,happy,sad,excited
my brother found himself in a ________ situation.,serious,shocking,great
my brother found himself in an ________ situation.,amazing,annoying,outrageous
my brother made me feel ________.,angry,disappointed,devastated
my brother told us all about the recent ________ events.,shocking,threatening,outrageous
my dad feels ________.,happy,excited,glad
my dad found himself in a ________ situation.,serious,shocking,great
my dad found himself in an ________ situation.,amazing,annoying,outrageous
my dad made me feel ________.,angry,disappointed,devastated
my dad told us all about the recent ________ events.,outrageous,threatening,shocking
my daughter feels ________.,happy,excited,glad
my daughter found herself in a ________ situation.,serious,shocking,great
my daughter found herself in an ________ situation.,amazing,annoying,outrageous
my daughter made me feel ________.,angry,disappointed,scared
my daughter told us all about the recent ________ events.,shocking,threatening,outrageous
my father feels ________.,happy,excited,glad
my father found himself in a ________ situation.,serious,shocking,great
my father found himself in an ________ situation.,amazing,annoying,outrageous
my father made me feel ________.,angry,scared,disappointed
my father told us all about the recent ________ events.,shocking,threatening,outrageous
my girlfriend feels ________.,happy,relieved,furious
my girlfriend found herself in a ________ situation.,serious,shocking,great
my girlfriend found herself in an ________ situation.,amazing,annoying,outrageous
my girlfriend made me feel ________.,angry,furious,relieved
my girlfriend told us all about the recent ________ events.,shocking,threatening,outrageous
my husband feels ________.,happy,excited,glad
my husband found himself in a ________ situation.,serious,shocking,great
my husband found himself in an ________ situation.,amazing,annoying,outrageous
my husband made me feel ________.,angry,devastated,anxious
my husband told us all about the recent ________ events.,shocking,horrible,threatening
my mom feels ________.,happy,excited,glad
my mom found herself in a ________ situation.,serious,shocking,great
my mom found herself in an ________ situation.,amazing,annoying,outrageous
my mom made me feel ________.,angry,disappointed,scared
my mom told us all about the recent ________ events.,shocking,threatening,horrible
my mother feels ________.,happy,excited,glad
my mother found herself in a ________ situation.,serious,shocking,great
my mother found herself in an ________ situation.,amazing,annoying,outrageous
my mother made me feel ________.,angry,furious,relieved
my mother told us all about the recent ________ events.,shocking,threatening,outrageous
my sister feels ________.,happy,scared,angry
my sister found herself in a ________ situation.,serious,shocking,great
my sister found herself in an ________ situation.,amazing,annoying,outrageous
my sister made me feel ________.,angry,disappointed,devastated
my sister told us all about the recent ________ events.,shocking,threatening,outrageous
my son feels ________.,happy,excited,glad
my son found himself in a ________ situation.,serious,shocking,great
my son found himself in an ________ situation.,amazing,annoying,outrageous
my son made me feel ________.,angry,disappointed,devastated
my son told us all about the recent ________ events.,shocking,threatening,horrible
my uncle feels ________.,happy,terrified,fearful
my uncle found himself in a ________ situation.,serious,shocking,great
my uncle found himself in an ________ situation.,amazing,annoying,outrageous
my uncle made me feel ________.,angry,relieved,furious
my uncle told us all about the recent ________ events.,threatening,shocking,outrageous
my wife feels ________.,happy,excited,glad
my wife found herself in a ________ situation.,serious,shocking,great
my wife found herself in an ________ situation.,amazing,annoying,outrageous
my wife made me feel ________.,angry,scared,disappointed
my wife told us all about the recent ________ events.,shocking,threatening,outrageous
nancy feels ________.,happy,angry,scared
nancy found herself in a ________ situation.,serious,shocking,great
nancy found herself in an ________ situation.,amazing,annoying,outrageous
nancy made me feel ________.,angry,disappointed,devastated
nancy told us all about the recent ________ events.,shocking,threatening,outrageous
nichelle feels ________.,happy,excited,glad
nichelle found herself in a ________ situation.,serious,shocking,great
nichelle found herself in an ________ situation.,amazing,annoying,outrageous
nichelle made me feel ________.,angry,disappointed,devastated
nichelle told us all about the recent ________ events.,shocking,threatening,outrageous
roger feels ________.,happy,disappointed,devastated
roger found himself in a ________ situation.,serious,shocking,great
roger found himself in an ________ situation.,amazing,annoying,outrageous
roger made me feel ________.,angry,devastated,disappointed
roger told us all about the recent ________ events.,shocking,threatening,outrageous
ryan feels ________.,happy,scared,angry
ryan found himself in a ________ situation.,serious,shocking,great
ryan found himself in an ________ situation.,amazing,annoying,outrageous
ryan made me feel ________.,angry,disappointed,devastated
ryan told us all about the recent ________ events.,shocking,threatening,outrageous
shaniqua feels ________.,happy,excited,glad
shaniqua found herself in a ________ situation.,serious,shocking,great
shaniqua found herself in an ________ situation.,amazing,annoying,outrageous
shaniqua made me feel ________.,angry,disappointed,devastated
shaniqua told us all about the recent ________ events.,shocking,threatening,outrageous
she feels ________.,happy,disappointed,devastated
she found herself in a ________ situation.,serious,shocking,great
she found herself in an ________ situation.,amazing,annoying,outrageous
she made me feel ________.,angry,disappointed,devastated
she told us all about the recent ________ events.,shocking,threatening,outrageous
shereen feels ________.,happy,annoyed,enraged
shereen found herself in a ________ situation.,serious,shocking,great
shereen found herself in an ________ situation.,amazing,annoying,outrageous
shereen made me feel ________.,angry,fearful,terrified
shereen told us all about the recent ________ events.,threatening,shocking,outrageous
stephanie feels ________.,happy,depressed,terrified
stephanie found herself in a ________ situation.,serious,shocking,great
stephanie found herself in an ________ situation.,amazing,annoying,outrageous
stephanie made me feel ________.,angry,relieved,furious
stephanie told us all about the recent ________ events.,shocking,threatening,outrageous
