model,qtype,filename,category,value,emotion,count_score,model_score,corpus_length
vector,emotion,glove.6B.100d,gender,male,joy,839,5.395104919,400001
vector,emotion,glove.6B.100d,gender,female,joy,803,5.395104919,400001
vector,emotion,glove.6B.100d,gender,male,sadness,154,5.395104919,400001
vector,emotion,glove.6B.100d,gender,female,sadness,140,5.395104919,400001
vector,emotion,glove.6B.100d,gender,male,anger,370,5.395104919,400001
vector,emotion,glove.6B.100d,gender,female,anger,397,5.395104919,400001
vector,emotion,glove.6B.100d,gender,male,fear,77,5.395104919,400001
vector,emotion,glove.6B.100d,gender,female,fear,100,5.395104919,400001
vector,emotion,glove.6B.100d,race,African-American,joy,516,8.666851393,400001
vector,emotion,glove.6B.100d,race,European,joy,541,8.666851393,400001
vector,emotion,glove.6B.100d,race,NA,joy,585,8.666851393,400001
vector,emotion,glove.6B.100d,race,African-American,sadness,116,8.666851393,400001
vector,emotion,glove.6B.100d,race,European,sadness,123,8.666851393,400001
vector,emotion,glove.6B.100d,race,NA,sadness,55,8.666851393,400001
vector,emotion,glove.6B.100d,race,African-American,anger,264,8.666851393,400001
vector,emotion,glove.6B.100d,race,European,anger,260,8.666851393,400001
vector,emotion,glove.6B.100d,race,NA,anger,243,8.666851393,400001
vector,emotion,glove.6B.100d,race,African-American,fear,64,8.666851393,400001
vector,emotion,glove.6B.100d,race,European,fear,36,8.666851393,400001
vector,emotion,glove.6B.100d,race,NA,fear,77,8.666851393,400001
vector,emotion,glove.6B.200d,gender,male,joy,978,2.52066722,400001
vector,emotion,glove.6B.200d,gender,female,joy,979,2.52066722,400001
vector,emotion,glove.6B.200d,gender,male,sadness,223,2.52066722,400001
vector,emotion,glove.6B.200d,gender,female,sadness,200,2.52066722,400001
vector,emotion,glove.6B.200d,gender,male,fear,113,2.52066722,400001
vector,emotion,glove.6B.200d,gender,female,fear,117,2.52066722,400001
vector,emotion,glove.6B.200d,gender,male,anger,126,2.52066722,400001
vector,emotion,glove.6B.200d,gender,female,anger,144,2.52066722,400001
vector,emotion,glove.6B.200d,race,African-American,joy,607,12.31108676,400001
vector,emotion,glove.6B.200d,race,European,joy,651,12.31108676,400001
vector,emotion,glove.6B.200d,race,NA,joy,699,12.31108676,400001
vector,emotion,glove.6B.200d,race,African-American,sadness,155,12.31108676,400001
vector,emotion,glove.6B.200d,race,European,sadness,166,12.31108676,400001
vector,emotion,glove.6B.200d,race,NA,sadness,102,12.31108676,400001
vector,emotion,glove.6B.200d,race,African-American,fear,91,12.31108676,400001
vector,emotion,glove.6B.200d,race,European,fear,56,12.31108676,400001
vector,emotion,glove.6B.200d,race,NA,fear,83,12.31108676,400001
vector,emotion,glove.6B.200d,race,African-American,anger,107,12.31108676,400001
vector,emotion,glove.6B.200d,race,European,anger,87,12.31108676,400001
vector,emotion,glove.6B.200d,race,NA,anger,76,12.31108676,400001
vector,emotion,glove.6B.300d,gender,male,joy,1025,2.058958127,400001
vector,emotion,glove.6B.300d,gender,female,joy,1032,2.058958127,400001
vector,emotion,glove.6B.300d,gender,male,sadness,183,2.058958127,400001
vector,emotion,glove.6B.300d,gender,female,sadness,164,2.058958127,400001
vector,emotion,glove.6B.300d,gender,male,fear,122,2.058958127,400001
vector,emotion,glove.6B.300d,gender,female,fear,119,2.058958127,400001
vector,emotion,glove.6B.300d,gender,male,anger,110,2.058958127,400001
vector,emotion,glove.6B.300d,gender,female,anger,125,2.058958127,400001
vector,emotion,glove.6B.300d,race,African-American,joy,640,8.857123144,400001
vector,emotion,glove.6B.300d,race,European,joy,692,8.857123144,400001
vector,emotion,glove.6B.300d,race,NA,joy,725,8.857123144,400001
vector,emotion,glove.6B.300d,race,African-American,sadness,131,8.857123144,400001
vector,emotion,glove.6B.300d,race,European,sadness,126,8.857123144,400001
vector,emotion,glove.6B.300d,race,NA,sadness,90,8.857123144,400001
vector,emotion,glove.6B.300d,race,African-American,fear,88,8.857123144,400001
vector,emotion,glove.6B.300d,race,European,fear,68,8.857123144,400001
vector,emotion,glove.6B.300d,race,NA,fear,85,8.857123144,400001
vector,emotion,glove.6B.300d,race,African-American,anger,101,8.857123144,400001
vector,emotion,glove.6B.300d,race,European,anger,74,8.857123144,400001
vector,emotion,glove.6B.300d,race,NA,anger,60,8.857123144,400001
vector,emotion,glove.6B.50d,gender,male,joy,798,5.650427149,400001
vector,emotion,glove.6B.50d,gender,female,joy,756,5.650427149,400001
vector,emotion,glove.6B.50d,gender,male,sadness,308,5.650427149,400001
vector,emotion,glove.6B.50d,gender,female,sadness,297,5.650427149,400001
vector,emotion,glove.6B.50d,gender,male,fear,203,5.650427149,400001
vector,emotion,glove.6B.50d,gender,female,fear,226,5.650427149,400001
vector,emotion,glove.6B.50d,gender,male,anger,131,5.650427149,400001
vector,emotion,glove.6B.50d,gender,female,anger,161,5.650427149,400001
vector,emotion,glove.6B.50d,race,African-American,joy,492,7.943612982,400001
vector,emotion,glove.6B.50d,race,European,joy,522,7.943612982,400001
vector,emotion,glove.6B.50d,race,NA,joy,540,7.943612982,400001
vector,emotion,glove.6B.50d,race,African-American,sadness,212,7.943612982,400001
vector,emotion,glove.6B.50d,race,European,sadness,227,7.943612982,400001
vector,emotion,glove.6B.50d,race,NA,sadness,166,7.943612982,400001
vector,emotion,glove.6B.50d,race,African-American,fear,134,7.943612982,400001
vector,emotion,glove.6B.50d,race,European,fear,125,7.943612982,400001
vector,emotion,glove.6B.50d,race,NA,fear,170,7.943612982,400001
vector,emotion,glove.6B.50d,race,African-American,anger,122,7.943612982,400001
vector,emotion,glove.6B.50d,race,European,anger,86,7.943612982,400001
vector,emotion,glove.6B.50d,race,NA,anger,84,7.943612982,400001
vector,emotion,glove.840B.300d,gender,male,sadness,254,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,female,sadness,257,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,male,fear,624,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,female,fear,612,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,male,anger,433,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,female,anger,426,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,male,joy,129,1.125467022,1702829
vector,emotion,glove.840B.300d,gender,female,joy,145,1.125467022,1702829
vector,emotion,glove.840B.300d,race,African-American,sadness,187,2.628740532,1702829
vector,emotion,glove.840B.300d,race,European,sadness,177,2.628740532,1702829
vector,emotion,glove.840B.300d,race,NA,sadness,147,2.628740532,1702829
vector,emotion,glove.840B.300d,race,African-American,fear,399,2.628740532,1702829
vector,emotion,glove.840B.300d,race,European,fear,406,2.628740532,1702829
vector,emotion,glove.840B.300d,race,NA,fear,431,2.628740532,1702829
